Entity,Code,Year,Average years of schooling
Bangladesh,BGD,1950,0.93
Bangladesh,BGD,1955,0.95
Bangladesh,BGD,1960,1.03
Bangladesh,BGD,1965,1.27
Bangladesh,BGD,1970,1.41
Bangladesh,BGD,1975,1.63
Bangladesh,BGD,1980,2.31
Bangladesh,BGD,1985,2.87
Bangladesh,BGD,1990,3.15
Bangladesh,BGD,1995,3.72
Bangladesh,BGD,2000,4.77
Bangladesh,BGD,2005,5.51
Bangladesh,BGD,2010,6.22
Bangladesh,BGD,2015,6.76
Bangladesh,BGD,2020,7.23
Benin,BEN,1950,0.52
Benin,BEN,1955,0.61
Benin,BEN,1960,0.7
Benin,BEN,1965,0.79
Benin,BEN,1970,0.87
Benin,BEN,1975,0.96
Benin,BEN,1980,1.26
Benin,BEN,1985,1.77
Benin,BEN,1990,2.24
Benin,BEN,1995,2.73
Benin,BEN,2000,3.31
Benin,BEN,2005,3.85
Benin,BEN,2010,4.57
Benin,BEN,2015,5.42
Benin,BEN,2020,6.27
Botswana,BWA,2015,10.27
Botswana,BWA,2020,10.58
Brunei,BRN,2015,9.08
Brunei,BRN,2020,9.28
Burundi,BDI,2015,4.3
Burundi,BDI,2020,5.05
Cambodia,KHM,1950,0.44
Cambodia,KHM,1955,0.67
Cambodia,KHM,1960,1.23
Cambodia,KHM,1965,1.53
Cambodia,KHM,1970,1.91
Cambodia,KHM,1975,2.31
Cambodia,KHM,1980,2.66
Cambodia,KHM,1985,2.89
Cambodia,KHM,1990,3.2
Cambodia,KHM,1995,3.41
Cambodia,KHM,2000,3.64
Cambodia,KHM,2005,4.26
Cambodia,KHM,2010,4.94
Cambodia,KHM,2015,5.32
Cambodia,KHM,2020,5.81
Cameroon,CMR,1950,0.72
Cameroon,CMR,1955,0.92
Cameroon,CMR,1960,1.12
Cameroon,CMR,1965,1.51
Cameroon,CMR,1970,1.92
Cameroon,CMR,1975,2.58
Cameroon,CMR,1980,3.25
Cameroon,CMR,1985,3.94
Cameroon,CMR,1990,4.65
Cameroon,CMR,1995,5.3
Cameroon,CMR,2000,5.76
Cameroon,CMR,2005,6.06
Cameroon,CMR,2010,6.41
Cameroon,CMR,2015,7.05
Cameroon,CMR,2020,7.37
Central African Republic,CAF,2015,4.21
Central African Republic,CAF,2020,4.64
Congo,COG,2015,6.47
Congo,COG,2020,6.74
Cote d'Ivoire,CIV,1950,0.86
Cote d'Ivoire,CIV,1955,0.91
Cote d'Ivoire,CIV,1960,0.99
Cote d'Ivoire,CIV,1965,1.09
Cote d'Ivoire,CIV,1970,1.33
Cote d'Ivoire,CIV,1975,1.76
Cote d'Ivoire,CIV,1980,2.13
